code,full_text
01A10,Class: History and biography Subclass: History of mathematics and mathematicians Subsubclass: History of mathematics in Paleolithic and Neolithic times
01A11,"Class: History and biography Subclass: History of mathematics and mathematicians Subsubclass: History of mathematics of the indigenous cultures of Africa, Asia, and Oceania"
01A12,Class: History and biography Subclass: History of mathematics and mathematicians Subsubclass: History of mathematics of the indigenous cultures of the Americas
01A15,"Class: History and biography Subclass: History of mathematics and mathematicians Subsubclass: History of mathematics of the indigenous cultures of Europe (pre-Greek, etc.)"
01A16,Class: History and biography Subclass: History of mathematics and mathematicians Subsubclass: History of Egyptian mathematics
01A17,Class: History and biography Subclass: History of mathematics and mathematicians Subsubclass: History of Babylonian mathematics
01A20,Class: History and biography Subclass: History of mathematics and mathematicians Subsubclass: History of Greek and Roman mathematics
01A25,Class: History and biography Subclass: History of mathematics and mathematicians Subsubclass: History of Chinese mathematics
01A27,Class: History and biography Subclass: History of mathematics and mathematicians Subsubclass: History of Japanese mathematics
01A29,"Class: History and biography Subclass: History of mathematics and mathematicians Subsubclass: History of East and Southeast Asian mathematics (non-Chinese, non-Japanese)"
01A30,Class: History and biography Subclass: History of mathematics and mathematicians Subsubclass: History of mathematics in the Golden Age of Islam
01A32,Class: History and biography Subclass: History of mathematics and mathematicians Subsubclass: History of Indian mathematics
01A35,Class: History and biography Subclass: History of mathematics and mathematicians Subsubclass: History of mathematics in Late Antiquity and medieval Europe
01A40,"Class: History and biography Subclass: History of mathematics and mathematicians Subsubclass: History of mathematics in the 15th and 16th centuries, Renaissance"
01A45,Class: History and biography Subclass: History of mathematics and mathematicians Subsubclass: History of mathematics in the 17th century
01A50,Class: History and biography Subclass: History of mathematics and mathematicians Subsubclass: History of mathematics in the 18th century
01A55,Class: History and biography Subclass: History of mathematics and mathematicians Subsubclass: History of mathematics in the 19th century
01A60,Class: History and biography Subclass: History of mathematics and mathematicians Subsubclass: History of mathematics in the 20th century
01A61,Class: History and biography Subclass: History of mathematics and mathematicians Subsubclass: History of mathematics in the 21st century
01A65,Class: History and biography Subclass: History of mathematics and mathematicians Subsubclass: Development of contemporary mathematics
01A67,Class: History and biography Subclass: History of mathematics and mathematicians Subsubclass: Future perspectives in mathematics
01A70,"Class: History and biography Subclass: History of mathematics and mathematicians Subsubclass: Biographies, obituaries, personalia, bibliographies"
01A72,Class: History and biography Subclass: History of mathematics and mathematicians Subsubclass: Schools of mathematics
01A73,Class: History and biography Subclass: History of mathematics and mathematicians Subsubclass: History of mathematics at specific universities
01A74,Class: History and biography Subclass: History of mathematics and mathematicians Subsubclass: History of mathematics at institutions and academies (non-university)
01A75,Class: History and biography Subclass: History of mathematics and mathematicians Subsubclass: Collected or selected works; reprintings or translations of classics
01A80,Class: History and biography Subclass: History of mathematics and mathematicians Subsubclass: Sociology (and profession) of mathematics
01A85,Class: History and biography Subclass: History of mathematics and mathematicians Subsubclass: Historiography
01A90,Class: History and biography Subclass: History of mathematics and mathematicians Subsubclass: Bibliographic studies
01A99,"Class: History and biography Subclass: History of mathematics and mathematicians Subsubclass: None of the above, but in this section"
03-XX,Class: Mathematical logic and foundations
03-00,"Class: Mathematical logic and foundations Subclass: General reference works (handbooks, dictionaries, bibliographies, etc.) pertaining to mathematical logic and foundations"
03-01,"Class: Mathematical logic and foundations Subclass: Introductory exposition (textbooks, tutorial papers, etc.) pertaining to mathematical logic and foundations"
03-02,"Class: Mathematical logic and foundations Subclass: Research exposition (monographs, survey articles) pertaining to mathematical logic and foundations"
03-03,Class: Mathematical logic and foundations Subclass: History of mathematical logic and foundations
03-04,"Class: Mathematical logic and foundations Subclass: Software, source code, etc. for problems pertaining to mathematical logic and foundations"
03-06,"Class: Mathematical logic and foundations Subclass: Proceedings, conferences, collections, etc. pertaining to mathematical logic and foundations"
03-08,Class: Mathematical logic and foundations Subclass: Computational methods for problems pertaining to mathematical logic and foundations
03-11,Class: Mathematical logic and foundations Subclass: Research data for problems pertaining to mathematical logic and foundations
03Axx,Class: Mathematical logic and foundations Subclass: Philosophical aspects of logic and foundations
03A05,Class: Mathematical logic and foundations Subclass: Philosophical aspects of logic and foundations Subsubclass: Philosophical and critical aspects of logic and foundations
03A10,Class: Mathematical logic and foundations Subclass: Philosophical aspects of logic and foundations Subsubclass: Logic in the philosophy of science
03A99,"Class: Mathematical logic and foundations Subclass: Philosophical aspects of logic and foundations Subsubclass: None of the above, but in this section"
03Bxx,Class: Mathematical logic and foundations Subclass: General logic
03B05,Class: Mathematical logic and foundations Subclass: General logic Subsubclass: Classical propositional logic
03B10,Class: Mathematical logic and foundations Subclass: General logic Subsubclass: Classical first order logic
03B16,Class: Mathematical logic and foundations Subclass: General logic Subsubclass: Higher order logic
03B20,Class: Mathematical logic and foundations Subclass: General logic Subsubclass: Subsystems of classical logic (including intuitionistic logic)
03B22,Class: Mathematical logic and foundations Subclass: General logic Subsubclass: Abstract deductive systems
03B25,Class: Mathematical logic and foundations Subclass: General logic Subsubclass: Decidability of theories and sets of sentences
03B30,Class: Mathematical logic and foundations Subclass: General logic Subsubclass: Foundations of classical theories (including reverse mathematics)
03B35,Class: Mathematical logic and foundations Subclass: General logic Subsubclass: Mechanization of proofs and logical operations
03B38,Class: Mathematical logic and foundations Subclass: General logic Subsubclass: Type theory
03B40,Class: Mathematical logic and foundations Subclass: General logic Subsubclass: Combinatory logic and lambda calculus
03B42,Class: Mathematical logic and foundations Subclass: General logic Subsubclass: Logics of knowledge and belief (including belief change)
03B44,Class: Mathematical logic and foundations Subclass: General logic Subsubclass: Temporal logic
03B45,Class: Mathematical logic and foundations Subclass: General logic Subsubclass: Modal logic (including the logic of norms)
03B47,"Class: Mathematical logic and foundations Subclass: General logic Subsubclass: Substructural logics (including relevance, entailment, linear logic, Lambek calculus, BCK and BCI logics)"
03B48,Class: Mathematical logic and foundations Subclass: General logic Subsubclass: Probability and inductive logic
03B50,Class: Mathematical logic and foundations Subclass: General logic Subsubclass: Many valued logic
03B52,Class: Mathematical logic and foundations Subclass: General logic Subsubclass: Fuzzy logic; logic of vagueness
03B53,Class: Mathematical logic and foundations Subclass: General logic Subsubclass: Paraconsistent logics
03B55,Class: Mathematical logic and foundations Subclass: General logic Subsubclass: Intermediate logics
03B60,Class: Mathematical logic and foundations Subclass: General logic Subsubclass: Other nonclassical logic
03B62,Class: Mathematical logic and foundations Subclass: General logic Subsubclass: Combined logics
03B65,Class: Mathematical logic and foundations Subclass: General logic Subsubclass: Logic of natural languages
03B70,Class: Mathematical logic and foundations Subclass: General logic Subsubclass: Logic in computer science
03B80,Class: Mathematical logic and foundations Subclass: General logic Subsubclass: Other applications of logic
03B99,"Class: Mathematical logic and foundations Subclass: General logic Subsubclass: None of the above, but in this section"
03Cxx,Class: Mathematical logic and foundations Subclass: Model theory
03C05,"Class: Mathematical logic and foundations Subclass: Model theory Subsubclass: Equational classes, universal algebra in model theory"
03C07,Class: Mathematical logic and foundations Subclass: Model theory Subsubclass: Basic properties of first-order languages and structures
03C10,"Class: Mathematical logic and foundations Subclass: Model theory Subsubclass: Quantifier elimination, model completeness, and related topics"
03C13,Class: Mathematical logic and foundations Subclass: Model theory Subsubclass: Model theory of finite structures
03C15,Class: Mathematical logic and foundations Subclass: Model theory Subsubclass: Model theory of denumerable and separable structures
03C20,Class: Mathematical logic and foundations Subclass: Model theory Subsubclass: Ultraproducts and related constructions
03C25,Class: Mathematical logic and foundations Subclass: Model theory Subsubclass: Model theoretic forcing
03C30,Class: Mathematical logic and foundations Subclass: Model theory Subsubclass: Other model constructions
03C35,Class: Mathematical logic and foundations Subclass: Model theory Subsubclass: Categoricity and completeness of theories
03C40,"Class: Mathematical logic and foundations Subclass: Model theory Subsubclass: Interpolation, preservation, definability"
03C45,"Class: Mathematical logic and foundations Subclass: Model theory Subsubclass: Classification theory, stability, and related concepts in model theory"
03C48,Class: Mathematical logic and foundations Subclass: Model theory Subsubclass: Abstract elementary classes and related topics
03C50,"Class: Mathematical logic and foundations Subclass: Model theory Subsubclass: Models with special properties (saturated, rigid, etc.)"
03C52,Class: Mathematical logic and foundations Subclass: Model theory Subsubclass: Properties of classes of models
03C55,Class: Mathematical logic and foundations Subclass: Model theory Subsubclass: Set theoretic model theory
03C57,"Class: Mathematical logic and foundations Subclass: Model theory Subsubclass: Computable structure theory, computable model theory"
03C60,Class: Mathematical logic and foundations Subclass: Model theory Subsubclass: Model-theoretic algebra
03C62,Class: Mathematical logic and foundations Subclass: Model theory Subsubclass: Models of arithmetic and set theory
03C64,Class: Mathematical logic and foundations Subclass: Model theory Subsubclass: Model theory of ordered structures; o-minimality
03C65,Class: Mathematical logic and foundations Subclass: Model theory Subsubclass: Models of other mathematical theories
03C66,"Class: Mathematical logic and foundations Subclass: Model theory Subsubclass: Continuous model theory, model theory of metric structures"
03C68,Class: Mathematical logic and foundations Subclass: Model theory Subsubclass: Other classical first order model theory
03C70,Class: Mathematical logic and foundations Subclass: Model theory Subsubclass: Logic on admissible sets
03C75,Class: Mathematical logic and foundations Subclass: Model theory Subsubclass: Other infinitary logic
03C80,Class: Mathematical logic and foundations Subclass: Model theory Subsubclass: Logic with extra quantifiers and operators
03C85,Class: Mathematical logic and foundations Subclass: Model theory Subsubclass: Second and higher order model theory
03C90,"Class: Mathematical logic and foundations Subclass: Model theory Subsubclass: Nonclassical models (Boolean valued, sheaf, etc.)"
03C95,Class: Mathematical logic and foundations Subclass: Model theory Subsubclass: Abstract model theory
03C98,Class: Mathematical logic and foundations Subclass: Model theory Subsubclass: Applications of model theory
03C99,"Class: Mathematical logic and foundations Subclass: Model theory Subsubclass: None of the above, but in this section"
